model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,5,6,2,1,7,8,0,0	0.000111111	0.919222	<1e-06	>111.123
0,1,2,3,4,5,6,2,1,7,6,5,0	0.000111111	0.919333	<1e-06	>111.123
0,1,2,3,4,0,5,2,1,6,2,4,0	0.000111111	0.919444	<1e-06	>111.123
0,1,2,3,4,5,6,2,1,7,6,4,4	0.000111111	0.919556	<1e-06	>111.123
0,1,2,3,4,0,5,2,1,6,2,7,0	0.000111111	0.919667	<1e-06	>111.123
0,1,2,3,4,5,6,2,1,7,3,5,5	0.000111111	0.919778	<1e-06	>111.123
0,1,2,3,4,0,5,2,1,6,4,0,0	0.000111111	0.919889	<1e-06	>111.123
0,1,2,3,4,0,5,2,1,6,5,0,3	0.000111111	0.92	<1e-06	>111.123
0,1,2,3,4,0,5,2,1,6,5,0,4	0.000111111	0.920111	<1e-06	>111.123
0,1,2,3,4,5,6,2,7,7,6,5,8	0.000111111	0.920222	<1e-06	>111.123
0,1,2,3,4,5,6,2,1,7,2,8,0	0.000111111	0.920333	<1e-06	>111.123
0,1,2,3,4,0,5,2,1,6,5,4,4	0.000111111	0.920444	<1e-06	>111.123
0,1,2,3,4,5,6,2,1,7,2,5,5	0.000111111	0.920556	<1e-06	>111.123
0,1,2,3,4,5,6,2,1,7,2,0,5	0.000111111	0.920667	<1e-06	>111.123
0,1,2,3,4,0,5,2,5,6,2,0,0	0.000111111	0.920778	<1e-06	>111.123
0,1,2,3,4,0,5,2,5,6,2,7,7	0.000111111	0.920889	<1e-06	>111.123
0,1,2,3,4,5,6,2,1,7,2,0,0	0.000111111	0.921	<1e-06	>111.123
0,1,2,3,4,0,5,2,6,1,2,4,0	0.000111111	0.921111	<1e-06	>111.123
0,1,2,3,4,5,6,2,1,1,2,5,4	0.000111111	0.921222	<1e-06	>111.123
0,1,2,3,4,0,5,2,6,6,2,0,4	0.000111111	0.921333	<1e-06	>111.123
0,1,2,3,4,0,5,2,6,6,5,0,0	0.000111111	0.921444	<1e-06	>111.123
0,1,2,3,4,0,5,2,6,6,7,0,8	0.000111111	0.921556	<1e-06	>111.123
0,1,2,3,4,5,6,2,1,1,2,0,4	0.000111111	0.921667	<1e-06	>111.123
0,1,2,3,4,5,2,6,7,8,9,10,11	0.000111111	0.921778	0.002194	0.0505377
0,1,2,3,4,0,2,5,6,6,2,0,7	0.000111111	0.921889	<1e-06	>111.123
0,1,2,3,4,5,6,2,7,8,9,10,4	0.000111111	0.922	7.1e-05	1.56501
0,1,2,3,4,5,6,2,7,8,9,10,0	0.000111111	0.922111	6.9e-05	1.61037
0,1,2,3,4,0,2,5,1,6,7,8,0	0.000111111	0.922222	<1e-06	>111.123
0,1,2,3,4,0,2,5,6,1,3,0,0	0.000111111	0.922333	<1e-06	>111.123
0,1,2,3,4,0,2,5,6,1,3,4,3	0.000111111	0.922444	<1e-06	>111.123
0,1,2,3,4,5,6,2,7,8,9,0,5	0.000111111	0.922556	2e-06	55.5616
0,1,2,3,4,0,2,5,6,6,2,0,0	0.000111111	0.922667	<1e-06	>111.123
0,1,2,3,4,5,6,2,7,8,6,9,0	0.000111111	0.922778	3e-06	37.041
0,1,2,3,4,5,6,2,7,8,6,5,9	0.000111111	0.922889	2e-06	55.5616
0,1,2,3,4,5,6,2,7,8,6,5,0	0.000111111	0.923	<1e-06	>111.123
0,1,2,3,4,5,6,2,7,8,6,0,4	0.000111111	0.923111	<1e-06	>111.123
0,1,2,3,4,5,6,2,7,8,6,0,3	0.000111111	0.923222	<1e-06	>111.123
0,1,2,3,4,5,6,2,7,8,6,0,0	0.000111111	0.923333	2e-06	55.5616
0,1,2,3,4,5,6,2,7,8,3,5,5	0.000111111	0.923444	1e-06	111.123
0,1,2,3,4,5,2,6,7,8,9,10,10	0.000111111	0.923556	5e-05	2.22236
0,1,2,3,4,0,2,5,6,6,2,4,4	0.000111111	0.923667	<1e-06	>111.123
0,1,2,3,4,0,2,5,6,6,5,0,0	0.000111111	0.923778	<1e-06	>111.123
0,1,2,3,4,5,6,2,7,8,3,5,4	0.000111111	0.923889	<1e-06	>111.123
0,1,2,3,4,0,2,5,6,6,7,0,4	0.000111111	0.924	<1e-06	>111.123
0,1,2,3,4,5,6,2,7,8,3,5,0	0.000111111	0.924111	<1e-06	>111.123
0,1,2,3,4,0,2,5,6,7,2,0,8	0.000111111	0.924222	1e-06	111.123
0,1,2,3,4,0,2,5,6,7,2,4,0	0.000111111	0.924333	<1e-06	>111.123
0,1,2,3,4,5,6,2,7,8,2,4,5	0.000111111	0.924444	1e-06	111.123
0,1,2,3,4,5,6,2,7,8,2,0,9	0.000111111	0.924556	9e-06	12.3469
0,1,2,3,4,0,2,5,6,7,2,8,4	0.000111111	0.924667	<1e-06	>111.123
0,1,2,3,4,0,2,5,6,7,2,8,8	0.000111111	0.924778	2e-06	55.5616
0,1,2,3,4,0,2,5,6,7,3,0,0	0.000111111	0.924889	<1e-06	>111.123
0,1,2,3,4,5,6,2,7,7,8,4,4	0.000111111	0.925	2e-06	55.5616
0,1,2,3,4,0,2,5,6,7,5,0,3	0.000111111	0.925111	<1e-06	>111.123
0,1,2,3,4,0,5,5,6,7,2,8,4	0.000111111	0.925222	<1e-06	>111.123
0,1,2,3,4,0,5,5,1,6,5,7,7	0.000111111	0.925333	<1e-06	>111.123
0,1,2,3,4,0,5,5,1,6,7,0,4	0.000111111	0.925444	<1e-06	>111.123
0,1,2,3,4,0,5,5,1,6,7,0,8	0.000111111	0.925556	<1e-06	>111.123
0,1,2,3,4,0,5,5,6,6,5,0,4	0.000111111	0.925667	<1e-06	>111.123
0,1,2,3,4,0,5,5,6,6,5,4,3	0.000111111	0.925778	<1e-06	>111.123
0,1,2,3,4,0,5,5,6,6,7,0,0	0.000111111	0.925889	<1e-06	>111.123
0,1,2,3,4,0,5,5,6,7,0,8,0	0.000111111	0.926	<1e-06	>111.123
0,1,2,3,4,5,2,6,1,7,8,0,0	0.000111111	0.926111	<1e-06	>111.123
0,1,2,3,4,5,2,6,1,7,6,4,4	0.000111111	0.926222	<1e-06	>111.123
0,1,2,3,4,0,5,5,6,7,2,0,8	0.000111111	0.926333	<1e-06	>111.123
0,1,2,3,4,0,5,5,6,7,2,4,4	0.000111111	0.926444	<1e-06	>111.123
0,1,2,3,4,0,5,5,6,7,2,4,8	0.000111111	0.926556	<1e-06	>111.123
0,1,2,3,4,5,2,6,1,7,2,8,5	0.000111111	0.926667	<1e-06	>111.123
0,1,2,3,4,5,2,6,1,7,2,5,5	0.000111111	0.926778	<1e-06	>111.123
0,1,2,3,4,5,2,6,1,7,8,0,5	0.000111111	0.926889	<1e-06	>111.123
0,1,2,3,4,5,2,6,1,7,2,5,0	0.000111111	0.927	<1e-06	>111.123
0,1,2,3,4,5,2,6,1,7,2,0,4	0.000111111	0.927111	<1e-06	>111.123
0,1,2,3,4,5,2,3,1,6,3,7,0	0.000111111	0.927222	1e-06	111.123
0,1,2,3,4,5,2,2,6,7,8,9,9	0.000111111	0.927333	6e-06	18.5205
0,1,2,3,4,5,2,2,6,7,8,9,4	0.000111111	0.927444	8e-06	13.8903
0,1,2,3,4,0,5,5,6,7,5,4,3	0.000111111	0.927556	<1e-06	>111.123
0,1,2,3,4,0,5,5,6,7,8,0,3	0.000111111	0.927667	1e-06	111.123
0,1,2,3,4,5,2,2,6,7,8,5,5	0.000111111	0.927778	1e-06	111.123
