model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,0,0,2,1,1,0,0,3,0,1,4,1,1,0,5,5,5,1,4,1	0.000444444	0.106667	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,1,0,1,3,1,1,4,4,4,5,1,6,1	0.000444444	0.107111	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,1,0,1,3,1,1,4,4,4,4,5,3,1	0.000444444	0.107556	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,1,0,1,2,1,1,3,3,3,3,1,4,1	0.000444444	0.108	<1e-06	>444.642
0,1,0,0,2,1,1,0,0,1,1,1,3,1,1,0,4,4,4,1,5,1	0.000333333	0.108333	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,3,1,1,4,1,1,5,5,5,5,1,2,1	0.000333333	0.108667	<1e-06	>333.444
0,1,0,0,2,1,3,0,0,3,0,1,4,1,1,5,5,5,5,1,4,1	0.000333333	0.109	<1e-06	>333.444
0,1,2,0,3,1,1,0,0,1,2,1,4,1,1,5,5,5,5,1,4,1	0.000333333	0.109333	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,3,4,1,3,1,1,5,5,5,5,1,6,7	0.000333333	0.109667	<1e-06	>333.444
0,1,0,0,2,3,1,0,0,1,0,1,4,3,3,5,5,5,5,1,6,1	0.000333333	0.11	<1e-06	>333.444
0,1,2,0,3,1,1,0,0,4,0,1,5,1,1,6,6,6,6,1,5,1	0.000333333	0.110333	<1e-06	>333.444
0,1,0,0,2,1,1,3,0,1,4,1,2,1,1,5,5,5,5,1,2,1	0.000333333	0.110667	<1e-06	>333.444
0,1,0,0,2,1,1,0,0,3,4,1,5,1,1,6,6,6,6,1,3,1	0.000333333	0.111	<1e-06	>333.444
0,1,0,0,2,3,3,0,0,4,5,3,4,3,3,6,6,6,6,3,4,1	0.000333333	0.111333	<1e-06	>333.444
